date,product,category,price,quantity,revenue,waste
2024-03-13,Tomatoes,Vegetables,2.5,50,125,5
2024-03-14,Onions,Vegetables,1.8,75,135,8
2024-03-15,Peppers,Vegetables,3.2,30,96,3
2024-03-16,Carrots,Vegetables,2.1,60,126,6
2024-03-17,Tomatoes,Vegetables,2.5,50,125,5
2024-03-18,Onions,Vegetables,1.8,75,135,8
2024-03-19,Peppers,Vegetables,3.2,30,96,3
2024-03-20,Carrots,Vegetables,2.1,60,126,6
2024-03-21,Tomatoes,Vegetables,2.5,50,125,5
2024-03-22,Onions,Vegetables,1.8,75,135,8
2024-03-23,Peppers,Vegetables,3.2,30,96,3
2024-03-24,Carrots,Vegetables,2.1,60,126,6
2024-03-25,Tomatoes,Vegetables,2.5,50,125,5
2024-03-26,Onions,Vegetables,1.8,75,135,8
2024-03-27,Peppers,Vegetables,3.2,30,96,3
2024-03-28,Carrots,Vegetables,2.1,60,126,6
2024-03-29,Tomatoes,Vegetables,2.5,50,125,5
2024-03-30,Onions,Vegetables,1.8,75,135,8
2024-03-31,Peppers,Vegetables,3.2,30,96,3
2024-04-01,Carrots,Vegetables,2.1,60,126,6
2024-04-02,Tomatoes,Vegetables,2.5,50,125,5
2024-04-03,Onions,Vegetables,1.8,75,135,8
2024-04-04,Peppers,Vegetables,3.2,30,96,3
2024-04-05,Carrots,Vegetables,2.1,60,126,6
2024-04-06,Tomatoes,Vegetables,2.5,50,125,5
2024-04-07,Onions,Vegetables,1.8,75,135,8
2024-04-08,Peppers,Vegetables,3.2,30,96,3
2024-04-09,Carrots,Vegetables,2.1,60,126,6
